cocktail_name,ingredients_list,recipe,glassware,source
Donga Punch,"aged Martinique rum, cinnamon syrup, grapefruit juice, lime juice","2 ounces aged Martinique rum (preferably Neisson Élevé Sous Bois)<br>
1 1/2 ounce Donn's Mix (1 cup cinnamon syrup and 2 cups grapefruit juice)<br>
3/4 ounce lime juice",tall glass or tiki mug,Easy Tiki
Zombie,"aged Jamaican rum, overproof aged Puerto Rican rum, cinnamon syrup, grapefruit juice, lime juice","1 ounce aged Jamaican rum<br>
1/2 ounce overproof aged Puerto Rican rum (preferably Don Q)<br>
1/2 ounce cinnamon syrup<br>
1 ounce white grapefruit juice<br>
3/4 ounce lime juice",,Easy Tiki
Missionary's Downfall,"unaged blended rum, honey syrup, crème de pêche, lemon juice, pineapple, mint leaves","1 1/4 ounce unaged blended rum (preferably Plantation 3 Stars)<br>
1/2 ounce honey syrup<br>
1/2 ounce crème de pêche (preferably Merlet crème de pêche de vigne)<br>
3/4 ounce lemon juice, 5 (1-inch) pineapple cubes<br>
6 mint leaves",,Easy Tiki
Shaken Missionary's Downfall,"mint leaves, unaged blended rum, lime juice, pineapple juice, peach liqueur, honey syrup","10 mint leaves<br>
2 ounces unaged blended rum<br>
3/4 ounce lime juice<br>
3/4 ounce pineapple juice<br>
1/2 ounce peach liqueur (preferably G.E. Massenex crème de pêche)<br>
1/2 ounce honey syrup",,Easy Tiki
Demerara Dry Float ,"Demerara rum, unaged blended rum, lime juice, passion fruit syrup, maraschino liqueur, overproof Demerara rum","3/4 ounce Demerara rum (preferably El Dorado 3 year)<br>
1/2 ounce unaged blended rum (preferably Banks 5 Island Blend)<br>
3/4 ounce lime juice<br>
1/2 ounce passion fruit syrup<br>
3/8 ounce maraschino liqueur (preferably Luxardo)<br>
1/2 ounce overproof Demerara rum (preferably Lemon Hart & Son 151)",,Easy Tiki
Cobra's Fang,"aged Jamaican rum, orange juice, passion fruit syrup, grenadine, Swedish punsch, absinthe","2 ounces aged Jamaican rum (preferably Smith & Cross)<br>
1 1/2 ounces orange juice<br>
1/2 ounce passion fruit syrup<br>
1/4 ounce grenadine<br>
1/4 ounce Swedish punsch (preferably Kronan)<br>
2 dashes absinthe (preferably Pernod)",,Easy Tiki
Don's Special Daiquiri,"aged Puerto Rican rum, aged Jamaican rum, spiced rum, agave nectar, passion fruit purée, lime juice","1 ounce aged Puerto Rican rum (preferably Bacardí Ocho)<br>
1/2 ounce aged Jamaican rum (preferably Plantation)<br>
1/2 ounce spiced rum, 3/4 ounce agave nectar<br>
1/2 ounce frozen passion fruit purée (preferably The Perfect Purée of Napa Valley)<br>
1/2 ounce lime juice",,Easy Tiki
Pearl Diver,"unaged blended rum, mango brandy, Gardenia Mix, Jamaican rum, simple syrup, lime juice","1 1/2 ounces unaged blended rum (preferably Denizen)<br>
1 ounce mango brandy (preferably Rhine Hall)<br>
1 ounce Gardenia Mix<br>
1 barspoon Jamaican rum (preferbly Smith & Cross)<br>
1/2 ounce simple syrup<br>
1/2 ounce lime juice",,Easy Tiki
Nui Nui,"Demerara rum, orange juice, lime juice, Donn's Spices, cinnamon syrup, simple syrup","2 ounces Demerara rum (preferably El Dorado 5 year)<br>
1/2 ounce orange juice<br>
1/2 ounce lime juice<br>
1/4 ounce Donn's Spices<br>
1/4 ounce cinnamon syrup<br>
1/4 ounce cane syrup",,Easy Tiki
Puka-Puka Punch,"blended aged rum, blended unaged rum, orange juice, lime juice, passion fruit syrup, honey syrup","1 ounce blended aged rum (preferably Plantation O.F.T.D.)<br>
1 ounce blended unaged rum (preferably Banks 5 Island Blend)<br>
3/4 ounce orange juice<br>
3/4 ounce lime juice<br>
3/4 ounce passion fruit syrup<br>
1/2 ounce honey syrup",,Easy Tiki
Trader Vic's Grog,"rum, lemon juice, pineapple juice, passion fruit syrup, Angostura bitters","2 ounces aged Jamaican or Demerara rum or aged overproof rum<br>
1 ounce lemon juice (less if a sweeter taste is preferred)<br>
1 ounce pineapple juice<br>
1 ounce passion fruit syrup<br>
2 or 3 dashes Angostura bitters",,Easy Tiki
Scorpion,"lime juice, orange juice, orgeat, cognac, unaged blended rum, aged Puerto Rican rum","2 1/4 ounces lime juice<br>
3 ounces orange juice<br>
2 1/4 ounces orgeat<br>
2 ounces cognac<br>
2 ounces unaged blended rum (preferably Plantation 3 Stars)<br>
2 ounces aged Puerto Rican rum (preferably Ron Del Barrilito Especial 3 Star)",,Easy Tiki
Mai Tai,"aged Jamaican rum, orange curaçao, lime juice, Demerara syrup, orgeat","2 ounce aged Jamaican rum or other full-bodied ""unapologetic"" rum<br>
1/2 ounce orange curaçao<br>
3/4 ounce lime juice<br>
1/4 ounce rich Demerara syrup<br>
1/4 ounce orgeat",,Easy Tiki
For Cutter,"aged Martinique rum, cognac, London dry gin, orgeat, amontillado sherry","1 ounce aged Martinique rum (preferably Neisson Élevé Sous Bois)<br>
1/2 ounce cognac<br>
1/2 ounce London dry gin<br>
3/4 ounce orgeat<br>
1/2 ounce amontillado sherry",,Easy Tiki
Martinique Swizzle,"unaged Martinique rum, aged blended rum, lime juice, simple syrup","1 ounce unaged Martinique rum (preferably Trois Rivières Cuvée de l'Océan)<br>
1 ounce aged blended rum (preferably Dos Maderas 5+5)<br>
3/4 ounce lime juice<br>
3/4 ounce cane syrup or Rhum J.M. Sirop de Sucre de Canne",,Easy Tiki
Shingle Stain,"aged Jamaican rum, unaged Martinique rum, lime juice, grenadine, pimento dram, Angostura bitters","1 ounce aged Jamaican rum<br>
3/4 ounce unaged or lightly aged Martinique rum<br>
1/2 ounce lime juice<br>
1/2 ounce grenadine<br>
1/4 ounce pimento dram (preferably St. Elizabeth)<br>
2 dashes Angostura bitters",,Easy Tiki
